"","state_name","rate"
"1","IL",1743.42212646818
"2","NJ",1491.43441652301
"3","CA",1761.43529118568
"4","OK",3350.77791705845
"5","IN",3066.19040956639
"6","KY",3887.59028426981
"7","LA",3269.80477513905
"8","KS",2820.13190850614
"9","WY",1703.37543688649
"10","MN",1814.15605597723
"11","VA",1979.01610448913
"12","NY",1310.87187049419
"13","MD",1645.79568663061
"14","CT",1689.39031147776
"15","WV",3957.70819888091
"16","NE",2277.85864612861
"17","PR",1133.00381741694
"18","WI",2404.35040489296
"19","ME",2790.39708666972
"20","ND",2219.3549383431
"21","UT",1903.10453602322
"22","WA",2223.07565565935
"23","PA",2626.38004096685
"24","AK",1062.23469356421
"25","OH",2729.37314418448
"26","NH",2087.07377037621
"27","DE",2434.56081765636
"28","MT",2467.00382899249
"29","AZ",2383.40551892299
"30","SD",2416.72541755861
"31","TN",4474.63138861935
"32","SC",3219.38117029742
"33","ID",2693.65429397952
"34","GA",2766.45580125781
"35","DC",1112.11994972423
"36","MI",3248.41639795115
"37","MO",3291.53872413167
"38","NM",2098.10815501723
"39","OR",2931.41656731916
"40","IA",2429.78953905767
"41","NC",3210.10554052456
"42","MS",3594.1715272631
"43","HI",1049.35324395163
"44","TX",1894.11987792752
"45","MA",1794.98242677983
"46","AL",4505.13087703048
"47","RI",1986.30760943614
"48","FL",2791.5355725078
"49","CO",2120.99440744523
"50","NV",2422.18032823187
"51","AR",3814.22614907999
"52","VT",2192.01148544666
