"","nppes_provider_state","total_opioid_claim","total_other_claim","opioid_rate"
"1","IL",2184309,41728207,4.97422875974585
"2","NJ",1283382,28823982,4.26268470398139
"3","CA",6417638,111142441,5.45902831521575
"4","IN",1930743,26656728,6.75380833792538
"5","KS",782317,11555433,6.34084010455715
"6","KY",1638035,25278821,6.08553614136807
"7","LA",1440658,21744092,6.21381727212931
"8","OK",1219460,13869357,8.08187944754052
"9","WY",93671,1318223,6.63442156422508
"10","CT",583844,12923956,4.32227305704852
"11","MD",927435,13739551,6.32328277943403
"12","MN",937652,16752786,5.30033230381294
"13","NE",404360,7735214,4.96782755461158
"14","NY",2463446,78502259,3.04257957119005
"15","PR",417833,25499328,1.61218661256918
"16","VA",1535952,24730066,5.8476774058405
"17","WV",713817,10784239,6.2081537957373
"18","AK",72644,956201,7.0607331522241
"19","AP",553,2026,21.4424195424583
"20","DE",212664,2967205,6.68782267445609
"21","ME",360747,5289708,6.38438851384534
"22","MT",236972,3099929,7.10155920118697
"23","ND",143711,2930585,4.67459867234645
"24","NH",266387,4197579,5.96749616820558
"25","OH",3065151,51799089,5.5867920525282
"26","PA",3224214,60623077,5.04988379225048
"27","UT",517213,5701641,8.31685387693617
"28","WA",1463932,18180925,7.45198603380009
"29","WI",1331234,20476850,6.10431434508414
"30","AZ",1490256,19140797,7.22336373233106
"31","ID",414454,4696577,8.10900970860869
"32","SC",1444282,21024602,6.42792049662992
"33","SD",188536,3381332,5.28131572371864
"34","TN",2770975,33466489,7.64671335720403
"35","XX",331,9958,3.21702789386724
"36","AE",2110,15666,11.8699369936994
"37","DC",62468,1447471,4.137120771104
"38","GA",2610000,38185205,6.39781072309846
"39","MP",196,8603,2.22752585521082
"40","ZZ",3345,34623,8.81005056890013
"41","IA",716361,14169648,4.81231067373397
"42","MI",3136207,37854081,7.65109774295804
"43","MO",1913959,30027877,5.99201310782511
"44","MS",1033444,15148165,6.38653424390615
"45","NC",2978412,43509273,6.40688388763605
"46","NM",423094,5615413,7.00659947897717
"47","OR",1097649,13031947,7.76843867298117
"48","AA",190,982,16.2116040955631
"49","AL",2101157,24052507,8.03389154192697
"50","AR",1082091,15022719,6.71905474203049
"51","AS",15,24,38.4615384615385
"52","CO",1042112,12325323,7.79590100868267
"53","FL",5130731,88381327,5.48670525463144
"54","GU",1659,72790,2.22837109967897
"55","HI",138244,3419440,3.88578637113358
"56","MA",1132409,25762716,4.21046193315703
"57","NV",645365,7165806,8.26207747852403
"58","RI",200598,5286788,3.65562036277382
"59","TX",4652796,72842971,6.00393567302844
"60","VI",3046,199028,1.50736858774508
"61","VT",131611,2067949,5.98351488479514
