"","state","mean_pm25"
"1","Wyoming",3.29859502651713
"2","Pennsylvania",7.57397337986489
"3","Ohio",8.82206200224039
"4","New Mexico",3.44931292278205
"5","Maryland",8.57617253584936
"6","Rhode Island",6.15960303740549
"7","Oregon",3.19351908219639
"8","Puerto Rico",NA
"9","Wisconsin",6.04533943488014
"10","North Dakota",4.02972994797801
"11","Nevada",3.33908346326732
"12","Georgia",9.68199383865607
"13","New York",5.14505876203722
"14","Arkansas",9.13171014181225
"15","Kansas",5.4229960864443
"16","Nebraska",4.33332807837836
"17","Utah",3.45581150619615
"18","Alaska",2.1825021089421
"19","Mississippi",8.99057740344999
"20","Oklahoma",6.6080943767793
"21","West Virginia",7.43472182672771
"22","Michigan",5.10378943886723
"23","Colorado",3.28826611639828
"24","New Jersey",7.95642226726877
"25","Delaware",8.34863973952392
"26","Montana",3.00881874582995
"27","Washington",3.40302984928868
"28","Connecticut",6.01422070629844
"29","California",4.57235462810613
"30","Kentucky",9.12802828754403
"31","Massachusetts",5.56097721743751
"32","Florida",7.09791487376409
"33","Idaho",3.50283965823273
"34","Missouri",8.25196128828077
"35","Hawaii",NA
"36","Alabama",9.91273425082721
"37","South Carolina",9.36024971263224
"38","New Hampshire",4.417278462161
"39","South Dakota",4.24674815453834
"40","Illinois",8.69887318654693
"41","Tennessee",8.79232789352769
"42","Indiana",8.97402540256719
"43","Iowa",7.39302568634833
"44","Arizona",4.22225110851884
"45","Minnesota",5.08389376540945
"46","Louisiana",8.64068268010686
"47","District of Columbia",10.802234654986
"48","Virginia",7.84027919992192
"49","Texas",6.06801864383783
"50","Vermont",4.18915345598826
"51","Maine",3.56338342830963
"52","North Carolina",8.12785429459312
